,country,year,bank_account,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type,living_condition,head_of_household
0,Kenya,2018,Yes,Rural,Yes,3,24,Female,Spouse,Married,Secondary education,Self employed,Living together,No
1,Kenya,2018,No,Rural,No,5,70,Female,Head of Household,Widowed,No formal education,Government Dependent,Widowed,Yes
2,Kenya,2018,Yes,Urban,Yes,5,26,Male,Other relative,Single,Vocational/Specialised training,Self employed,Never Married,No
3,Kenya,2018,No,Rural,Yes,5,34,Female,Head of Household,Married,Primary education,Formally employed Private,Living together,Yes
4,Kenya,2018,No,Urban,No,8,26,Male,Child,Single,Primary education,Informally employed,Never Married,No
5,Kenya,2018,No,Rural,No,7,26,Female,Spouse,Married,Primary education,Informally employed,Living together,No
6,Kenya,2018,No,Rural,Yes,7,32,Female,Spouse,Married,Primary education,Self employed,Living together,No
7,Kenya,2018,No,Rural,Yes,1,42,Female,Head of Household,Married,Tertiary education,Formally employed Government,Living together,Yes
8,Kenya,2018,Yes,Rural,Yes,3,54,Male,Head of Household,Married,Secondary education,Farming and Fishing,Living together,Yes
9,Kenya,2018,No,Urban,Yes,3,76,Female,Head of Household,Divorced,No formal education,Remittance Dependent,Seperated,Yes
10,Kenya,2018,No,Rural,Yes,5,40,Female,Head of Household,Married,Secondary education,Farming and Fishing,Living together,Yes
11,Kenya,2018,Yes,Rural,Yes,3,69,Male,Head of Household,Married,Secondary education,Other Income,Living together,Yes
12,Kenya,2018,No,Rural,No,6,64,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Widowed,Yes
13,Kenya,2018,No,Rural,No,8,31,Female,Spouse,Married,Primary education,Self employed,Living together,No
14,Kenya,2018,No,Urban,Yes,4,26,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
15,Kenya,2018,No,Rural,Yes,7,38,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
16,Kenya,2018,No,Urban,Yes,1,47,Female,Head of Household,Married,Secondary education,Self employed,Living together,Yes
17,Kenya,2018,Yes,Rural,Yes,6,27,Female,Head of Household,Married,Secondary education,Self employed,Living together,Yes
18,Kenya,2018,No,Urban,Yes,1,48,Female,Head of Household,Single,Vocational/Specialised training,Formally employed Private,Never Married,Yes
19,Kenya,2018,No,Rural,No,4,25,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
20,Kenya,2018,No,Rural,Yes,4,26,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
21,Kenya,2018,Yes,Urban,Yes,1,32,Male,Head of Household,Single,Vocational/Specialised training,Self employed,Never Married,Yes
22,Kenya,2018,No,Urban,Yes,4,34,Female,Spouse,Married,Secondary education,Self employed,Living together,No
23,Kenya,2018,No,Rural,Yes,3,21,Female,Spouse,Married,Secondary education,Informally employed,Living together,No
24,Kenya,2018,No,Urban,No,7,18,Male,Other relative,Single,Secondary education,Remittance Dependent,Never Married,No
25,Kenya,2018,No,Rural,Yes,5,22,Female,Child,Single,Secondary education,Remittance Dependent,Never Married,No
26,Kenya,2018,No,Rural,No,8,26,Male,Child,Married,Primary education,Self employed,Living together,No
27,Kenya,2018,No,Urban,Yes,1,31,Female,Head of Household,Single,Primary education,Informally employed,Never Married,Yes
28,Kenya,2018,No,Rural,Yes,4,26,Male,Head of Household,Married,Primary education,Formally employed Private,Living together,Yes
29,Kenya,2018,No,Rural,No,7,58,Female,Head of Household,Widowed,No formal education,Remittance Dependent,Widowed,Yes
30,Kenya,2018,No,Urban,Yes,5,55,Male,Head of Household,Married,Secondary education,Informally employed,Living together,Yes
31,Kenya,2018,No,Urban,Yes,5,38,Male,Head of Household,Married,Secondary education,Self employed,Living together,Yes
32,Kenya,2018,Yes,Urban,Yes,4,62,Female,Spouse,Married,Primary education,Formally employed Government,Living together,No
33,Kenya,2018,No,Rural,Yes,3,29,Female,Head of Household,Married,Primary education,Remittance Dependent,Living together,Yes
34,Kenya,2018,No,Rural,Yes,10,42,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
35,Kenya,2018,No,Rural,Yes,5,48,Female,Head of Household,Widowed,Primary education,Informally employed,Widowed,Yes
36,Kenya,2018,No,Rural,Yes,4,35,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
37,Kenya,2018,No,Rural,Yes,5,45,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
38,Kenya,2018,No,Rural,Yes,8,45,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
39,Kenya,2018,No,Rural,No,3,70,Male,Head of Household,Married,No formal education,Farming and Fishing,Living together,Yes
40,Kenya,2018,No,Rural,Yes,6,67,Male,Head of Household,Divorced,Primary education,Farming and Fishing,Seperated,Yes
41,Kenya,2018,No,Urban,Yes,4,19,Female,Other relative,Single,Secondary education,Remittance Dependent,Never Married,No
42,Kenya,2018,Yes,Rural,Yes,3,80,Male,Head of Household,Widowed,Primary education,Remittance Dependent,Widowed,Yes
43,Kenya,2018,No,Rural,Yes,2,66,Male,Head of Household,Married,Secondary education,Farming and Fishing,Living together,Yes
44,Kenya,2018,No,Urban,No,1,31,Male,Head of Household,Single,Primary education,Formally employed Private,Never Married,Yes
45,Kenya,2018,No,Rural,Yes,1,50,Female,Head of Household,Single,Primary education,Self employed,Never Married,Yes
46,Kenya,2018,No,Rural,No,3,29,Female,Head of Household,Single,Primary education,Informally employed,Never Married,Yes
47,Kenya,2018,No,Rural,Yes,4,33,Male,Head of Household,Married,Vocational/Specialised training,Farming and Fishing,Living together,Yes
48,Kenya,2018,No,Urban,Yes,4,28,Female,Child,Married,Vocational/Specialised training,Self employed,Living together,No
49,Kenya,2018,No,Urban,Yes,3,28,Male,Child,Single,Secondary education,Farming and Fishing,Never Married,No
50,Kenya,2018,No,Urban,Yes,3,26,Female,Head of Household,Divorced,Secondary education,Informally employed,Seperated,Yes
51,Kenya,2018,No,Urban,Yes,2,51,Female,Head of Household,Single,Secondary education,Self employed,Never Married,Yes
